UnluckyNumbers ,438 ,2 ,easy ,回答が面白い。少し難易度が高くおすすめ 
TheBeauty ,437 ,2 ,easy ,よくある位ごとの値のテンプレ 
LeastMajorityMultiple ,434 ,2 ,easy ,愚直な方法が気づくかの問題 
ThePalindrome ,428 ,2 ,easy ,いわゆる最長一致問題　練習にはいい 
TheLuckyString ,428 ,2 ,middle ,全探索・再起のいい問題。一見計算量的に間に合わなそうだけど　見積もりをしっかりすれば間に合う。フィールドの練習にもなるかも 
MagicSpell ,424  ,2 ,easy ,キューのテクニック 
DeckRearranging ,420 ,2 ,easy ,ArrayListとtoArrayを使いこなす練習。 
ColumnDiagramPerimeter ,419 ,2 ,easy ,ひらめき 
ReversedSum ,417 ,2 ,easy ,文字列と数値の変換をしっかり。 
Stick ,409 ,2 ,easy ,回答のアイディア。ビットカウント 
SquareDigitNumbers ,395 ,2 ,easy ,進数変換 
snowyHighwayLength ,391 ,2 ,easy ,初級者向き。真面目にやろうとしたら練習になる。 
IsomorphicWords ,391 ,2 ,middle ,解法のアイディア。文字列処理。 
FingerCounting ,390 ,2 ,easy ,考えが少し大変？ 
GuessingNextElement ,387 ,2 ,easy ,練習問題にはちょうどいい３０秒以内で 
DownloadingFiles ,379 ,2 ,easy ,原理を考えると簡単。文字列から数値への変換。最後注意 
SellingProducts ,379 ,2 ,middle ,問題の把握。把握さえ出来れば全探索（うっかりに注意） 
Thimbles ,354 ,2 ,easy ,文字列と数値の変換の練習 
Trekking ,345 ,2 ,easy ,問題把握 string(char)　minの基本的な扱い 
FixTheAverage ,282 ,2 ,easy ,目指せ３０秒 
FontSize ,265 ,2 ,easy ,文字の扱いが面白い 
Party ,263 ,2 ,easy ,ガリガリやるだけだけど、組むのに工夫が必要？あと最後に引っかけが重要 
SequenceOfNumbers ,255 ,2 ,easy ,文字列↔数値の変換。まじめにやるとハイレベル（Comparatorインターフェイス） 
WordCompositionGame ,255 ,2 ,middle ,解法に気づくか。さらにテクニックを使うと短く書ける。 
SignatureDecorator ,225 ,2 ,easy ,ガリガリやるだけだけど、正確に文字列処理をするための練習になる。 
